Bementite,Mn8Si6O15(OH)10
Benauite,HSrFe+++3(PO4)2(OH)6
Benavidesite,"Pb4(Mn,Fe)Sb6S14"
Benitoite,BaTiSi3O9
Benjaminite,"(Ag,Cu)3(Bi,Pb)7S12"
Benjaminite,"(Ag,Cu)3(Bi,Pb)7S12"
Benleonardite,"Ag8(Sb,As)Te2S3"
Benstonite,"(Ba,Sr)6(Ca,Mn)6Mg(CO3)13"
Bentorite,"Ca6(Cr,Al)2(SO4)3(OH)12*26(H2O)"
Benyacarite,"(H2O,K)2Ti(Mn++,Fe++)2(Fe+++,Ti)2Ti(PO4)4(O,F)2*14(H2O)"
Benyacarite,"(H2O,K)2Ti(Mn++,Fe++)2(Fe+++,Ti)2Ti(PO4)4(O,F)2*14(H2O)"
Beraunite,Fe++Fe+++5(PO4)4(OH)5*4(H2O)
Beraunite,Fe++Fe+++5(PO4)4(OH)5*4(H2O)
Berborite,"Be2(BO3)(OH,F)*(H2O)"
Berborite,"Be2(BO3)(OH,F)*(H2O)"
Berborite,"Be2(BO3)(OH,F)*(H2O)"
Berborite,"Be2(BO3)(OH,F)*(H2O)"
Berdesinskiite,V+++2TiO5
Berezanskite,KLi3Ti2Si12O30
Bergenite,Ca2Ba4[(UO3)2O2(PO4)2]3 (H2O)16
Bergslagite,CaBe(AsO4)(OH)
Berlinite,AlPO4
Bermanite,Mn++Mn+++2(PO4)2(OH)2*4(H2O)
Bermanite,Mn++Mn+++2(PO4)2(OH)2*4(H2O)
Bernalite,Fe(OH)3
Bernardite,"Tl(As,Sb)5S8"
Berndtite,SnS2
Berndtite,SnS2
Berryite,"Pb3(Ag,Cu)5Bi7S16"
